rank,feature_name,category,status,dtype,null_count,null_pct,min,max,mean,std,value_range,unique_values,quality_status
1,cotedirect,Basic,Available,float64,0,0.0%,0.0,191.0,27.07,35.04,0.00 to 191.00,174,OK
2,coteprob,Basic,Available,float64,0,0.0%,0.0,125.0,18.74,20.06,0.00 to 125.00,148,OK
3,handicapDistance,Basic,Available,int64,0,0.0%,-1.0,3025.0,1013.66,1298.64,-1 to 3025,11,Extreme values
4,recence,Basic,Available,int64,0,0.0%,0.0,374.0,38.04,48.92,0.00 to 374.00,113,OK
5,gainsAnneeEnCours,Basic,Available,int64,0,0.0%,0.0,19456000.0,1751051.29,2233672.91,0 to 19456000,494,Extreme values
6,age,Basic,Available,int64,0,0.0%,2.0,13.0,4.79,2.02,2.00 to 13.00,11,OK
7,nbVictCouple,Basic,Available,int64,0,0.0%,0.0,24.0,0.75,1.80,0.00 to 24.00,14,OK
8,victoirescheval,Basic,Available,int64,0,0.0%,0.0,25.0,2.98,3.55,0.00 to 25.00,22,OK
9,placescheval,Basic,Available,int64,0,0.0%,0.0,48.0,8.07,8.29,0.00 to 48.00,38,OK
10,TxVictCouple,Basic,Available,float64,0,0.0%,0.0,100.0,11.37,22.68,0.00 to 100.00,56,OK
11,pourcVictChevalHippo,Basic,Available,float64,0,0.0%,0.0,100.0,7.31,19.97,0.00 to 100.00,46,OK
12,pourcPlaceChevalHippo,Basic,Available,float64,0,0.0%,0.0,100.0,19.84,30.79,0.00 to 100.00,53,OK
13,coursescheval,Basic,Available,int64,0,0.0%,0.0,154.0,26.22,27.29,0.00 to 154.00,99,OK
14,ratio_victoires,Basic,Available,float64,0,0.0%,0.0,0.0,0.00,0.00,0.00 to 0.00,1,All zeros; Constant value
15,ratio_places,Basic,Available,float64,0,0.0%,0.0,1.0,0.32,0.21,0.00 to 1.00,230,OK
16,gains_par_course,Basic,Available,float64,0,0.0%,0.0,1.0,0.83,0.24,0.00 to 1.00,519,OK
17,efficacite_couple,Basic,Available,float64,0,0.0%,0.0,0.0,0.00,0.00,0.00 to 0.00,1,All zeros; Constant value
18,perf_cheval_hippo,Basic,Available,float64,0,0.0%,0.0,100.0,13.57,22.89,0.00 to 100.00,67,OK
19,perf_jockey_hippo,Basic,Available,float64,0,0.0%,0.0,50.0,17.41,7.95,0.00 to 50.00,229,OK
20,blinkers_first_time,Basic,Available,float64,0,0.0%,0.0,1.0,0.02,0.12,0.00 to 1.00,2,OK
21,blinkers_high_impact_change,Basic,Available,float64,0,0.0%,0.0,1.0,0.04,0.19,0.00 to 1.00,2,OK
22,barefoot_to_shod,Basic,Available,float64,0,0.0%,0.0,1.0,0.04,0.21,0.00 to 1.00,2,OK
23,major_shoeing_change,Basic,Available,float64,0,0.0%,0.0,1.0,0.05,0.22,0.00 to 1.00,2,OK
24,equipment_momentum_score,Basic,Available,float64,0,0.0%,0.0,3.0,0.25,0.63,0.00 to 3.00,4,OK
25,equipment_optimization_score,Basic,Available,float64,0,0.0%,0.0,2.0,0.25,0.51,0.00 to 2.00,3,OK
26,che_global_avg_pos,Musique,Available,float64,0,0.0%,0.0,14.666666666666666,6.15,2.78,0.00 to 14.67,208,OK
27,che_global_recent_perf,Musique,Available,float64,0,0.0%,0.0,17.666666666666668,6.75,3.95,0.00 to 17.67,54,OK
28,che_global_consistency,Musique,Available,float64,0,0.0%,0.0,11.0,4.29,2.64,0.00 to 11.00,457,OK
29,che_global_pct_top3,Musique,Available,float64,0,0.0%,0.0,1.0,0.34,0.26,0.00 to 1.00,33,OK
30,che_weighted_avg_pos,Musique,Available,float64,0,0.0%,0.0,4.3999999999999995,1.84,0.84,0.00 to 4.40,208,OK
31,che_weighted_recent_perf,Musique,Available,float64,0,0.0%,0.0,5.3,2.03,1.18,0.00 to 5.30,54,OK
32,joc_global_avg_pos,Musique,Available,float64,0,0.0%,0.0,10.25,5.30,1.43,0.00 to 10.25,128,OK
33,joc_global_recent_perf,Musique,Available,float64,0,0.0%,0.0,13.333333333333334,5.20,2.02,0.00 to 13.33,32,OK
34,joc_global_consistency,Musique,Available,float64,0,0.0%,0.0,6.80036013452109,2.97,0.84,0.00 to 6.80,262,OK
35,joc_global_pct_top3,Musique,Available,float64,0,0.0%,0.0,1.0,0.37,0.17,0.00 to 1.00,30,OK
36,joc_weighted_avg_pos,Musique,Available,float64,0,0.0%,0.0,3.0749999999999997,1.59,0.43,0.00 to 3.07,128,OK
37,joc_weighted_recent_perf,Musique,Available,float64,0,0.0%,0.0,4.0,1.56,0.61,0.00 to 4.00,32,OK
38,class_drop_pct,Phase2,Available,float64,0,0.0%,0.0,1.0,0.95,0.21,0.00 to 1.00,2,OK
39,purse_ratio,Phase2,Available,float64,0,0.0%,0.0,1.0,0.05,0.21,0.00 to 1.00,2,OK
40,moving_up_in_class,Phase2,Available,float64,0,0.0%,0.0,0.0,0.00,0.00,0.00 to 0.00,1,All zeros; Constant value
41,speed_figure_proxy,Phase2,Available,float64,0,0.0%,100.0,100.0,100.00,0.00,100.00 to 100.00,1,Constant value
42,market_confidence_shift,Phase2,Available,float64,0,0.0%,0.0256,14.0,1.23,1.24,0.03 to 14.00,352,OK
43,trainer_change,Phase2,Available,float64,0,0.0%,1.0,1.0,1.00,0.00,1.00 to 1.00,1,Constant value
44,distance_comfort,Phase2,Available,float64,0,0.0%,0.21875,1.0,0.88,0.15,0.22 to 1.00,129,OK
45,recence_x_class_drop,Phase2,Available,float64,0,0.0%,0.0,12.466666666666667,1.27,1.63,0.00 to 12.47,113,OK
46,dist,Basic,Available,int64,0,0.0%,1400.0,4400.0,2489.37,817.99,1400 to 4400,15,Extreme values
47,temperature,Basic,Available,float64,0,0.0%,10.0,20.0,14.38,2.65,10.00 to 20.00,10,OK
48,career_strike_rate,Phase1,Available,float64,0,0.0%,0.0,1.0,0.12,0.13,0.00 to 1.00,191,OK
49,earnings_per_race,Phase1,Available,float64,0,0.0%,0.0,1.0,0.83,0.24,0.00 to 1.00,519,OK
50,earnings_trend,Phase1,Available,float64,0,0.0%,0.0,0.0,0.00,0.00,0.00 to 0.00,1,All zeros; Constant value
51,last_race_position_normalized,Phase1,Available,float64,0,0.0%,-0.1,1.5,0.50,0.45,-0.10 to 1.50,17,OK
52,last_race_odds_normalized,Phase1,Available,float64,0,0.0%,0.0,3.0,1.02,0.98,0.00 to 3.00,95,OK
53,last_race_field_size_factor,Phase1,Available,float64,0,0.0%,0.0,1.8,1.11,0.39,0.00 to 1.80,16,OK
54,distance_consistency,Phase1,Available,float64,0,0.0%,0.0,1.0,0.87,0.22,0.00 to 1.00,130,OK
55,vha_normalized,Phase1,Available,float64,0,0.0%,0.0,0.71,0.16,0.21,0.00 to 0.71,91,OK
56,claiming_tax_trend,Phase1,Available,float64,0,0.0%,-1.0,0.7142857142857143,-0.02,0.15,-1.00 to 0.71,11,OK
57,class_stability,Phase1,Available,float64,0,0.0%,0.5,1.0,0.93,0.17,0.50 to 1.00,2,OK
