feature_name,issue_type,severity,recommendation
is_handicap_quinte,constant,high,Remove (no variance)
handicap_division,constant,high,Remove (no variance)
weather_clear,constant,high,Remove (no variance)
weather_rain,constant,high,Remove (no variance)
weather_cloudy,constant,high,Remove (no variance)
post_position_track_bias,constant,high,Remove (no variance)
ratio_victoires,constant,high,Remove (no variance)
efficacite_couple,constant,high,Remove (no variance)
regularite_couple,constant,high,Remove (no variance)
progression_couple,constant,high,Remove (no variance)
is_handicap_quinte,all_zeros,high,Remove (not calculated)
handicap_division,all_zeros,high,Remove (not calculated)
weather_clear,all_zeros,high,Remove (not calculated)
weather_rain,all_zeros,high,Remove (not calculated)
weather_cloudy,all_zeros,high,Remove (not calculated)
ratio_victoires,all_zeros,high,Remove (not calculated)
efficacite_couple,all_zeros,high,Remove (not calculated)
regularite_couple,all_zeros,high,Remove (not calculated)
progression_couple,all_zeros,high,Remove (not calculated)
"che_global_total_races,che_weighted_total_races",multicollinear,medium,Remove one feature
"che_global_dnf_rate,che_weighted_dnf_rate",multicollinear,medium,Remove one feature
"che_weighted_avg_pos,che_bytype_avg_pos",multicollinear,medium,Remove one feature
"che_weighted_pct_top3,che_bytype_pct_top3",multicollinear,medium,Remove one feature
"che_weighted_nb_courses,che_bytype_nb_courses",multicollinear,medium,Remove one feature
"che_weighted_trend,che_bytype_trend",multicollinear,medium,Remove one feature
"joc_global_avg_pos,joc_weighted_avg_pos",multicollinear,medium,Remove one feature
"joc_global_total_races,joc_weighted_total_races",multicollinear,medium,Remove one feature
"joc_global_dnf_rate,joc_weighted_dnf_rate",multicollinear,medium,Remove one feature
"joc_weighted_avg_pos,joc_bytype_avg_pos",multicollinear,medium,Remove one feature
"joc_weighted_recent_perf,joc_bytype_recent_perf",multicollinear,medium,Remove one feature
"joc_weighted_consistency,joc_bytype_consistency",multicollinear,medium,Remove one feature
"joc_weighted_pct_top3,joc_bytype_pct_top3",multicollinear,medium,Remove one feature
"joc_weighted_nb_courses,joc_bytype_nb_courses",multicollinear,medium,Remove one feature
"joc_weighted_trend,joc_bytype_trend",multicollinear,medium,Remove one feature
"pourcPlaceJockHippo,perf_jockey_hippo",multicollinear,medium,Remove one feature
avg_quinte_position,leakage,high,Verify not using future data
weather_clear,leakage,high,Verify not using future data
weather_cloudy,leakage,high,Verify not using future data
post_position_bias,leakage,high,Verify not using future data
post_position_track_bias,leakage,high,Verify not using future data
placescheval,leakage,high,Verify not using future data
ratio_places,leakage,high,Verify not using future data
pourcPlaceChevalHippo,leakage,high,Verify not using future data
pourcPlaceJockHippo,leakage,high,Verify not using future data
